from ,to ,relationship,year
bs,DB,2,2017
bs,BdJ,1,2021
bs,Julis,2,2005
bs,FDPDE,2,2006
bs,FDPBW,2,2013
bs,FDPRA,2,2014
bs,FDPRA,2,2019
bs,BMCO,3,2019
bs,DIG,3,
bs,AI,3,
ft,Julis,2,2003
ft,DB,2,2005
ft,DB,2,2018
ft,FdB,2,2009
ft,FDPBW,2,2020
ft,RE,7,2000
ft,CA,7,2000
ft,HD,7,2000
ft,TUE,7,2012
ft,FDPBW,2,2017
ft,KfW,8,
mt,TUE,7,1995
mt,Julis,2,1983
mt,FDPDE,2,1991
mt,FDPBW,2,1999
mt,FDPBW,2,2013
mt,LBW,2,2001
mt,FDPBW,2,2006
mt,FDPBW,2,2003
mt ,FDPDE,2,2013
mt,EP,2,2009
mt,DB,2,2017
mt,FDPDE,2,2017
mt,BfDuV,1,2021
mt,KfW,4,2020
mt,RMS,3,
jb,DB,2,2017
jb,DAS,3,2019
ck,TUE,7,2009
ck,GDE,2,1998
ck,GTUE,2,2002
ck,GBW,2,2007
ck,GSW,2,2009
ck,DB,2,2013
ck,GBauWoh,2,
ck,HAA,2,
ck,AURuV,2,
fb,EP,2,2009
fb,DB,2,2013
fb,UZK,2,2014
fb,GJBW,2,1997
fb,GJDE,2,1996
fb,GPG,2,2017
fb,BMS,3,
coe,GDE,2,1981
coe,DB,2,1994
coe,GBW,2,1989
coe,EP,2,2004
coe,GDE,2,2008
coe,DB,2,2013
coe,AuVuI,2,2018
coe,BfEL,1,2021
coe,DTFS,3,
coe,HBS,2,
tl,GDE,2,1998
tl,GJDE,2,1999
tl,DB,2,2011
tl,HAA,2,2011
tl,VA,2,2018
tl,AA,1,2021
